Symbol  ,Date  ,Expiry  ,Option type  ,Strike Price  ,Open  ,High  ,Low  ,Close  ,LTP  ,Settle Price  ,No. of contracts  ,Turnover * in  ₹ Lakhs,Premium Turnover ** in   ₹ Lakhs,Open Int  ,Change in OI  ,Underlying Value  
NIFTY,07-Aug-2026,18-Aug-2026,CE,26150.00,1.15,1.45,1.00,1.10,1.05,1.10,2575.00,43770.49,1.93,139100.00,68510.00,24570.65
NIFTY,07-Aug-2026,18-Aug-2026,CE,22050.00,-,-,-,2148.45,-,2560.83,-,-,-,-,-,24570.65
NIFTY,07-Aug-2026,18-Aug-2026,CE,24100.00,575.40,609.95,522.45,564.55,572.00,564.55,899.00,14411.55,328.71,84630.00,33215.00,24570.65
NIFTY,07-Aug-2026,18-Aug-2026,CE,26650.00,0.95,0.95,0.70,0.70,0.70,0.70,3.00,51.97,-,7020.00,-,24570.65
NIFTY,07-Aug-2026,11-Aug-2026,CE,24650.00,96.00,130.00,73.90,88.45,86.05,88.45,2442869.00,39298178.19,157309.64,6055400.00,1657760.00,24570.65
NIFTY,07-Aug-2026,11-Aug-2026,CE,22950.00,-,-,-,1640.40,-,1635.86,-,-,-,-,-,24570.65
NIFTY,07-Aug-2026,11-Aug-2026,CE,23300.00,1342.00,1342.00,1258.00,1275.00,1275.00,1286.21,29.00,463.50,24.30,12415.00,-260.00,24570.65
NIFTY,07-Aug-2026,11-Aug-2026,CE,24700.00,74.00,106.40,57.55,68.55,66.35,68.55,2749988.00,44291689.06,140631.72,10013835.00,1682265.00,24570.65
NIFTY,07-Aug-2026,11-Aug-2026,CE,24100.00,526.45,554.35,456.70,510.55,507.85,510.55,6647.00,106314.95,2189.70,341965.00,-16705.00,24570.65
NIFTY,07-Aug-2026,11-Aug-2026,CE,23400.00,1225.00,1236.10,1183.90,1183.90,1183.90,1186.44,18.00,287.92,14.14,9490.00,-975.00,24570.65
NIFTY,07-Aug-2026,11-Aug-2026,CE,22500.00,-,-,-,2140.00,2140.00,2085.56,-,-,-,2275.00,-,24570.65
NIFTY,07-Aug-2026,11-Aug-2026,CE,21850.00,-,-,-,2680.75,-,2735.13,-,-,-,-,-,24570.65
NIFTY,07-Aug-2026,11-Aug-2026,CE,27000.00,0.50,0.50,0.30,0.35,0.35,0.35,32406.00,568733.66,8.36,363935.00,31395.00,24570.65
NIFTY,07-Aug-2026,11-Aug-2026,CE,25800.00,0.70,1.00,0.70,0.85,0.75,0.85,365211.00,6124783.17,194.70,4947150.00,-12415.00,24570.65
NIFTY,07-Aug-2026,11-Aug-2026,CE,22400.00,-,-,-,2148.50,-,2185.50,-,-,-,-,-,24570.65
NIFTY,07-Aug-2026,11-Aug-2026,CE,25200.00,5.50,7.75,3.25,3.95,3.60,3.95,776068.00,12714634.47,2640.63,6521905.00,1239160.00,24570.65
NIFTY,07-Aug-2026,11-Aug-2026,CE,24900.00,44.80,44.80,18.25,21.00,20.10,21.00,1279098.00,20724628.92,22427.79,7641140.00,1827670.00,24570.65
NIFTY,07-Aug-2026,11-Aug-2026,CE,22300.00,-,-,-,2244.00,-,2285.43,-,-,-,-,-,24570.65
NIFTY,07-Aug-2026,11-Aug-2026,CE,23050.00,-,-,-,1552.25,-,1535.94,-,-,-,-,-,24570.65
NIFTY,07-Aug-2026,11-Aug-2026,CE,23650.00,1003.10,1003.10,909.75,969.55,952.90,969.55,255.00,4080.30,160.31,20800.00,13910.00,24570.65
NIFTY,07-Aug-2026,11-Aug-2026,CE,24250.00,361.40,417.55,323.20,370.90,366.60,370.90,13240.00,211862.67,3167.17,130130.00,-49855.00,24570.65
NIFTY,07-Aug-2026,11-Aug-2026,CE,23700.00,928.50,943.00,856.00,910.10,904.00,910.10,179.00,2862.14,104.64,42380.00,-2860.00,24570.65
NIFTY,07-Aug-2026,11-Aug-2026,CE,24050.00,583.65,601.90,505.45,559.20,562.00,559.20,808.00,12919.10,288.04,44200.00,-4485.00,24570.65
NIFTY,07-Aug-2026,11-Aug-2026,CE,22700.00,-,-,-,1867.15,-,1885.70,-,-,-,-,-,24570.65
NIFTY,07-Aug-2026,11-Aug-2026,CE,26200.00,0.55,0.75,0.50,0.60,0.50,0.60,13815.00,235274.72,5.27,288665.00,88335.00,24570.65
NIFTY,07-Aug-2026,11-Aug-2026,CE,26300.00,0.50,0.65,0.45,0.60,0.60,0.60,10404.00,177860.30,3.92,161070.00,72215.00,24570.65
NIFTY,07-Aug-2026,11-Aug-2026,CE,21950.00,-,-,-,2582.90,-,2635.20,-,-,-,-,-,24570.65
NIFTY,07-Aug-2026,11-Aug-2026,CE,25550.00,1.35,2.10,1.15,1.35,1.25,1.35,257161.00,4271075.14,273.83,1801605.00,607620.00,24570.65
NIFTY,07-Aug-2026,11-Aug-2026,CE,23550.00,1040.55,1040.55,1026.70,1033.65,1033.65,1037.19,3.00,47.94,2.02,2405.00,195.00,24570.65
NIFTY,07-Aug-2026,11-Aug-2026,CE,24350.00,300.00,332.20,243.00,282.50,281.35,282.50,51426.00,823325.54,9380.52,356590.00,78520.00,24570.65
NIFTY,07-Aug-2026,11-Aug-2026,CE,23800.00,818.00,844.40,751.80,814.05,814.90,814.05,717.00,11461.99,370.00,89115.00,-9945.00,24570.65
NIFTY,07-Aug-2026,11-Aug-2026,CE,21750.00,-,-,-,2778.90,-,2835.07,-,-,-,-,-,24570.65
NIFTY,07-Aug-2026,11-Aug-2026,CE,24300.00,375.00,375.00,282.15,325.55,322.50,325.55,91604.00,1465946.97,19061.79,859105.00,-101595.00,24570.65
