timestamp,symbol,expiry,strike,option_type,last_price,change,percent_change,volume,oi,oi_change,iv,bid_price,ask_price,bid_quantity,ask_quantity,total_buy_quantity,total_sell_quantity,underlying_value,source
2026-08-21 10:22:58.975064,NIFTY,2026-08-25,22800,PE,1.55,-0.2,-11.428571428571429,22466,27090,1532,24.62,1.5,1.55,336505,121485,3538080,632840,24238.65,nse
2026-08-21 10:22:58.975064,NIFTY,2026-08-25,22850,CE,0.0,0.0,0.0,0,29,0,0.0,1430.85,1446.95,65,65,8255,7995,24238.65,nse
2026-08-21 10:22:58.975064,NIFTY,2026-08-25,22850,PE,1.6,-0.2,-11.11111111111111,7755,7463,186,23.86,1.55,1.6,105690,32695,2095925,237575,24238.65,nse
2026-08-21 10:22:58.975064,NIFTY,2026-08-25,22900,CE,1379.85,12.85,0.9400146305779078,20,75,0,34.66,1378.4,1393.1,130,65,8125,7930,24238.65,nse
2026-08-21 10:22:58.975064,NIFTY,2026-08-25,22900,PE,1.7,-0.2,-10.526315789473685,23950,30296,990,23.26,1.65,1.7,320905,211055,3934710,640900,24238.65,nse
2026-08-21 10:22:58.975064,NIFTY,2026-08-25,22950,CE,0.0,0.0,0.0,0,3,0,22.91,1327.3,1349.0,65,65,8190,7995,24238.65,nse
2026-08-21 10:22:58.975064,NIFTY,2026-08-25,22950,PE,1.7,-0.25,-12.820512820512821,7631,4438,135,22.57,1.7,1.75,35165,73515,2603120,217620,24238.65,nse
2026-08-21 10:22:58.975064,NIFTY,2026-08-25,23000,CE,1282.65,-10.5,-0.8119707690523141,610,4912,-369,34.76,1284.15,1285.4,65,65,18070,19110,24238.65,nse
2026-08-21 10:22:58.975064,NIFTY,2026-08-25,23000,PE,1.8,-0.15,-7.6923076923076925,118386,157657,2859,21.87,1.75,1.8,102960,145990,8904610,876265,24238.65,nse
2026-08-21 10:22:58.975064,NIFTY,2026-08-25,23050,CE,0.0,0.0,0.0,0,6,0,0.0,1221.75,1249.1,65,65,8060,7995,24238.65,nse
2026-08-21 10:22:58.975064,NIFTY,2026-08-25,23050,PE,1.85,-0.25,-11.904761904761905,13020,4818,221,21.23,1.8,1.85,64480,62335,1931475,241540,24238.65,nse
2026-08-21 10:22:58.975064,NIFTY,2026-08-25,23100,CE,1185.25,-36.25,-2.9676627097830535,6,73,-1,32.08,1176.05,1188.65,195,130,9685,9815,24238.65,nse
2026-08-21 10:22:58.975064,NIFTY,2026-08-25,23100,PE,1.9,-0.3,-13.636363636363637,37001,20388,3027,20.51,1.85,1.9,298805,122395,3920995,652275,24238.65,nse
2026-08-21 10:22:58.975064,NIFTY,2026-08-25,23150,CE,0.0,0.0,0.0,0,9,0,0.0,1123.15,1148.85,130,65,8060,7995,24238.65,nse
2026-08-21 10:22:58.975064,NIFTY,2026-08-25,23150,PE,2.05,-0.45,-18.0,41638,26587,3618,19.85,2.0,2.05,165165,141570,3328845,459615,24238.65,nse
2026-08-21 10:22:58.975064,NIFTY,2026-08-25,23200,CE,1088.5,-9.0,-0.8200455580865603,55,337,30,30.74,1082.65,1087.2,65,130,6825,10725,24238.65,nse
2026-08-21 10:22:58.975064,NIFTY,2026-08-25,23200,PE,2.1,-0.15,-6.666666666666667,99382,55085,1511,19.18,2.05,2.1,349570,123695,5488145,748735,24238.65,nse
2026-08-21 10:22:58.975064,NIFTY,2026-08-25,23250,CE,1036.45,-38.65,-3.5950144172635103,4,33,2,29.05,1024.25,1047.05,130,65,7930,7865,24238.65,nse
2026-08-21 10:22:58.975064,NIFTY,2026-08-25,23250,PE,2.2,-0.25,-10.204081632653061,39004,17237,5871,18.43,2.15,2.2,134940,72995,3105960,297960,24238.65,nse
2026-08-21 10:22:58.975064,NIFTY,2026-08-25,23300,CE,986.25,-10.2,-1.0236339003462291,54,396,8,27.87,982.0,988.45,65,260,11765,14235,24238.65,nse
2026-08-21 10:22:58.975064,NIFTY,2026-08-25,23300,PE,2.35,-0.15,-6.0,103208,58942,12043,17.84,2.3,2.35,323310,93340,5755815,481975,24238.65,nse
2026-08-21 10:22:58.975064,NIFTY,2026-08-25,23350,CE,933.55,-16.45,-1.731578947368421,2,47,0,0.0,930.5,937.9,130,325,8645,8970,24238.65,nse
2026-08-21 10:22:58.975064,NIFTY,2026-08-25,23350,PE,2.45,-0.2,-7.547169811320755,39250,12323,808,17.12,2.4,2.45,116935,65845,3441230,265590,24238.65,nse
2026-08-21 10:22:58.975064,NIFTY,2026-08-25,23400,CE,888.95,-4.1,-0.4591008342198085,25,443,-2,26.25,882.4,886.2,130,65,11115,12155,24238.65,nse
2026-08-21 10:22:58.975064,NIFTY,2026-08-25,23400,PE,2.6,-0.3,-10.344827586206897,168403,77976,13362,16.44,2.6,2.65,312520,96330,6217900,575315,24238.65,nse
2026-08-21 10:22:58.975064,NIFTY,2026-08-25,23450,CE,838.25,-39.1,-4.456602268193993,1,36,0,24.91,832.2,837.6,130,65,7995,7930,24238.65,nse
2026-08-21 10:22:58.975064,NIFTY,2026-08-25,23450,PE,2.8,-0.2,-6.666666666666667,83176,18984,898,15.73,2.75,2.8,143000,80860,3674385,286455,24238.65,nse
2026-08-21 10:22:58.975064,NIFTY,2026-08-25,23500,CE,782.85,-11.55,-1.45392749244713,677,6413,-52,23.71,783.4,785.75,65,65,20345,26000,24238.65,nse
2026-08-21 10:22:58.975064,NIFTY,2026-08-25,23500,PE,2.95,-0.3,-9.23076923076923,256635,163834,16645,15.05,2.95,3.0,141115,168220,9871485,508625,24238.65,nse
2026-08-21 10:22:58.975064,NIFTY,2026-08-25,23550,CE,735.7,-11.05,-1.4797455641111483,80,207,19,22.92,734.0,737.3,65,65,12870,13650,24238.65,nse
2026-08-21 10:22:58.975064,NIFTY,2026-08-25,23550,PE,3.1,-0.25,-7.462686567164179,126557,27200,2316,14.34,3.1,3.15,31200,42770,3636360,272870,24238.65,nse
2026-08-21 10:22:58.975064,NIFTY,2026-08-25,23600,CE,686.75,-8.4,-1.2083722937495505,98,3597,-13,21.04,684.3,687.15,65,130,16250,15860,24238.65,nse
2026-08-21 10:22:58.975064,NIFTY,2026-08-25,23600,PE,3.4,-0.25,-6.8493150684931505,197927,94099,6432,13.64,3.4,3.45,26520,52130,4514055,289640,24238.65,nse
2026-08-21 10:22:58.975064,NIFTY,2026-08-25,23650,CE,640.0,-3.3,-0.5129799471475206,61,566,3,20.59,634.5,637.8,65,65,14690,14495,24238.65,nse
2026-08-21 10:22:58.975064,NIFTY,2026-08-25,23650,PE,3.7,-0.35,-8.641975308641975,115875,39055,9410,12.97,3.65,3.7,30160,41275,3270995,273130,24238.65,nse
2026-08-21 10:22:58.975064,NIFTY,2026-08-25,23700,CE,585.85,-11.9,-1.9907988289418654,376,2810,-33,19.35,584.4,586.3,65,130,19760,19175,24238.65,nse
2026-08-21 10:22:58.975064,NIFTY,2026-08-25,23700,PE,4.0,-0.55,-12.087912087912088,206384,106546,3562,12.24,3.95,4.0,20735,60970,4210440,553670,24238.65,nse
2026-08-21 10:22:58.975064,NIFTY,2026-08-25,23750,CE,541.6,-7.55,-1.3748520440681054,214,716,-34,18.35,535.75,537.75,130,130,39910,16835,24238.65,nse
2026-08-21 10:22:58.975064,NIFTY,2026-08-25,23750,PE,4.5,-0.9,-16.666666666666668,148937,39183,4330,11.57,4.5,4.55,27495,15470,2800655,234975,24238.65,nse
2026-08-21 10:22:58.975064,NIFTY,2026-08-25,23800,CE,486.75,-11.5,-2.308078273958856,3694,10072,480,16.7,486.5,487.85,130,260,166530,41600,24238.65,nse
2026-08-21 10:22:58.975064,NIFTY,2026-08-25,23800,PE,5.25,-1.4,-21.05263157894737,272173,134003,9611,10.95,5.2,5.25,57005,35035,4081740,839215,24238.65,nse
2026-08-21 10:22:58.975064,NIFTY,2026-08-25,23850,CE,436.4,-14.0,-3.108348134991119,683,1184,49,15.83,437.85,439.1,130,325,77220,25610,24238.65,nse
2026-08-21 10:22:58.975064,NIFTY,2026-08-25,23850,PE,6.4,-1.75,-21.47239263803681,183366,66197,8010,10.39,6.35,6.4,37050,9100,2907710,301275,24238.65,nse
2026-08-21 10:22:58.975064,NIFTY,2026-08-25,23900,CE,390.3,-12.55,-3.115303462827355,6109,5352,622,14.63,389.85,390.65,455,260,96460,54600,24238.65,nse
2026-08-21 10:22:58.975064,NIFTY,2026-08-25,23900,PE,8.2,-2.25,-21.5311004784689,280708,113630,9999,9.92,8.15,8.2,13455,23725,3160755,669565,24238.65,nse
2026-08-21 10:22:58.975064,NIFTY,2026-08-25,23950,CE,342.8,-13.85,-3.8833590354689473,4525,3816,567,13.61,342.4,343.05,65,130,104455,36140,24238.65,nse
2026-08-21 10:22:58.975064,NIFTY,2026-08-25,23950,PE,10.8,-2.95,-21.454545454545453,203157,54792,6183,9.48,10.75,10.8,3770,6175,2824250,334880,24238.65,nse
2026-08-21 10:22:58.975064,NIFTY,2026-08-25,24000,CE,297.0,-13.75,-4.424778761061947,67588,96385,1985,12.63,296.8,297.25,260,65,578500,212030,24238.65,nse
2026-08-21 10:22:58.975064,NIFTY,2026-08-25,24000,PE,14.65,-3.75,-20.380434782608695,582963,283203,31697,9.1,14.65,14.7,65,37440,4467710,1649310,24238.65,nse
2026-08-21 10:22:58.975064,NIFTY,2026-08-25,24050,CE,252.3,-14.9,-5.576347305389222,24202,10819,1376,11.91,252.05,252.65,65,195,184210,88530,24238.65,nse
2026-08-21 10:22:58.975064,NIFTY,2026-08-25,24050,PE,19.75,-4.5,-18.556701030927837,288644,76075,27513,8.7,19.75,19.8,3575,7540,3006380,615615,24238.65,nse
2026-08-21 10:22:58.975064,NIFTY,2026-08-25,24100,CE,209.2,-15.65,-6.960195686012898,150078,58019,10977,11.21,209.65,209.95,260,65,369720,392275,24238.65,nse
2026-08-21 10:22:58.975064,NIFTY,2026-08-25,24100,PE,27.25,-5.05,-15.634674922600619,534090,159184,41916,8.36,27.2,27.25,3770,325,3433430,1100840,24238.65,nse
2026-08-21 10:22:58.975064,NIFTY,2026-08-25,24150,CE,170.45,-15.45,-8.310919849381389,181003,38160,18894,10.62,170.05,170.45,390,390,416065,403195,24238.65,nse
2026-08-21 10:22:58.975064,NIFTY,2026-08-25,24150,PE,37.75,-4.8,-11.280846063454758,493326,116319,44749,8.05,37.65,37.75,4485,585,3244020,895570,24238.65,nse
2026-08-21 10:22:58.975064,NIFTY,2026-08-25,24200,CE,134.85,-15.6,-10.36889332003988,948803,234044,104681,10.09,134.5,134.85,975,325,3266835,1934530,24238.65,nse
2026-08-21 10:22:58.975064,NIFTY,2026-08-25,24200,PE,51.95,-4.4,-7.808340727595386,1566632,358644,154198,7.74,51.85,51.95,65,1885,4984070,3087695,24238.65,nse
2026-08-21 10:22:58.975064,NIFTY,2026-08-25,24250,CE,102.25,-15.3,-13.015737983836665,1033862,176768,112605,9.63,102.1,102.3,650,1105,3798470,2086630,24238.65,nse
2026-08-21 10:22:58.975064,NIFTY,2026-08-25,24250,PE,70.6,-3.6,-4.8517520215633425,1310832,198298,121721,7.4,70.35,70.5,1430,325,3929315,1941810,24238.65,nse
2026-08-21 10:22:58.975064,NIFTY,2026-08-25,24300,CE,75.4,-14.2,-15.848214285714286,1267189,297914,147362,9.32,75.25,75.45,3445,325,4325490,2923050,24238.65,nse
2026-08-21 10:22:58.975064,NIFTY,2026-08-25,24300,PE,93.85,-2.2,-2.2904737116085374,1160348,214072,99037,7.07,93.5,93.7,1365,975,3729505,1665430,24238.65,nse
2026-08-21 10:22:58.975064,NIFTY,2026-08-25,24350,CE,53.8,-12.4,-18.731117824773413,519913,103360,56367,9.04,53.75,53.85,1105,650,3091335,1002430,24238.65,nse
2026-08-21 10:22:58.975064,NIFTY,2026-08-25,24350,PE,122.0,-0.75,-0.6109979633401222,399373,65666,34986,6.67,121.8,122.1,130,1690,608790,565695,24238.65,nse
2026-08-21 10:22:58.975064,NIFTY,2026-08-25,24400,CE,36.9,-10.45,-22.069693769799365,597029,195214,68742,8.87,36.9,37.0,12675,2730,3538665,1740700,24238.65,nse
2026-08-21 10:22:58.975064,NIFTY,2026-08-25,24400,PE,155.0,2.0,1.3071895424836601,351278,72595,23974,6.05,155.0,155.25,975,1040,572845,571415,24238.65,nse
2026-08-21 10:22:58.975064,NIFTY,2026-08-25,24450,CE,24.55,-8.05,-24.69325153374233,293686,82187,40188,8.76,24.45,24.55,8450,8320,3100435,690040,24238.65,nse
2026-08-21 10:22:58.975064,NIFTY,2026-08-25,24450,PE,193.3,4.05,2.14002642007926,83340,17612,8894,4.66,193.1,193.5,65,455,285675,175500,24238.65,nse
2026-08-21 10:22:58.975064,NIFTY,2026-08-25,24500,CE,16.25,-5.65,-25.799086757990867,532940,238807,46274,8.77,16.2,16.25,5070,18135,4075045,1576055,24238.65,nse
2026-08-21 10:22:58.975064,NIFTY,2026-08-25,24500,PE,234.35,6.2,2.717510409818102,103345,65723,4138,0.0,234.0,234.5,195,325,406185,234000,24238.65,nse
2026-08-21 10:22:58.975064,NIFTY,2026-08-25,24550,CE,10.65,-3.75,-26.041666666666668,254963,67779,21192,8.82,10.6,10.7,48750,35360,3350035,771940,24238.65,nse
2026-08-21 10:22:58.975064,NIFTY,2026-08-25,24550,PE,279.25,8.75,3.234750462107209,11274,4169,1236,0.0,278.0,278.7,195,520,152685,57980,24238.65,nse
2026-08-21 10:22:58.975064,NIFTY,2026-08-25,24600,CE,7.05,-2.2,-23.783783783783782,307793,153957,27316,8.98,7.05,7.1,41015,56940,4891445,1324635,24238.65,nse
2026-08-21 10:22:58.975064,NIFTY,2026-08-25,24600,PE,325.45,10.6,3.3666825472447197,17998,15438,827,0.0,324.45,325.2,325,325,354965,57785,24238.65,nse
2026-08-21 10:22:58.975064,NIFTY,2026-08-25,24650,CE,5.1,-1.1,-17.741935483870968,165459,63672,19166,9.32,5.1,5.15,39065,34385,3944070,450580,24238.65,nse
2026-08-21 10:22:58.975064,NIFTY,2026-08-25,24650,PE,372.75,11.35,3.140564471499723,2813,3057,259,0.0,372.15,373.05,260,130,50635,36010,24238.65,nse
2026-08-21 10:22:58.975064,NIFTY,2026-08-25,24700,CE,3.75,-0.4,-9.63855421686747,189520,123926,7676,9.65,3.7,3.75,101725,21385,4901260,747435,24238.65,nse
2026-08-21 10:22:58.975064,NIFTY,2026-08-25,24700,PE,421.5,13.8,3.384841795437822,3946,13179,-142,0.0,420.85,421.85,65,65,56550,38740,24238.65,nse
2026-08-21 10:22:58.975064,NIFTY,2026-08-25,24750,CE,2.95,-0.15,-4.838709677419355,119356,45206,13501,10.1,2.9,2.95,125905,69810,4328935,636935,24238.65,nse
2026-08-21 10:22:58.975064,NIFTY,2026-08-25,24750,PE,474.65,14.7,3.195999565170127,382,1490,14,0.0,469.9,471.45,130,585,41990,17615,24238.65,nse
2026-08-21 10:22:58.975064,NIFTY,2026-08-25,24800,CE,2.4,-0.05,-2.0408163265306123,199817,119299,12976,10.58,2.4,2.45,144300,372970,12080575,1195025,24238.65,nse
2026-08-21 10:22:58.975064,NIFTY,2026-08-25,24800,PE,522.0,12.95,2.5439544249091446,1664,6970,-307,0.0,518.55,520.3,65,65,54405,20215,24238.65,nse
2026-08-21 10:22:58.975064,NIFTY,2026-08-25,24850,CE,2.15,0.1,4.878048780487805,74696,36898,11160,11.23,2.1,2.15,162370,88335,4276415,682240,24238.65,nse
2026-08-21 10:22:58.975064,NIFTY,2026-08-25,24850,PE,565.8,10.75,1.936762453832988,55,765,12,0.0,568.8,571.25,65,65,20020,13975,24238.65,nse
2026-08-21 10:22:58.975064,NIFTY,2026-08-25,24900,CE,1.85,0.15,8.823529411764707,110308,58833,7841,11.81,1.85,1.9,317590,180310,11091015,1271335,24238.65,nse
2026-08-21 10:22:58.975064,NIFTY,2026-08-25,24900,PE,618.45,12.0,1.9787286668315607,437,2159,-151,0.0,618.85,621.0,65,65,17485,15015,24238.65,nse
